BLAST Ortholog,Sequence Length
MBN7444730.1 IclR family transcriptional regulator [Mycobacteroides abscessus subsp. abscessus],246
ORV32133.1 hypothetical protein AWB99_10780 [Mycolicibacterium confluentis],246
WP_206486963.1 IclR family transcriptional regulator [Mycobacteroides abscessus],246
WP_005098523.1 IclR family transcriptional regulator [Mycobacteroides abscessus],246
WP_229481624.1 IclR family transcriptional regulator [Mycolicibacterium mageritense],246
WP_036433955.1 MULTISPECIES: IclR family transcriptional regulator [Mycolicibacterium],246
WP_396919121.1 IclR family transcriptional regulator [Mycolicibacterium sp.],246
AQT81579.1 IclR family transcriptional regulator [Mycolicibacterium litorale],247
TLH80753.1 IclR family transcriptional regulator [Mycolicibacterium cosmeticum],247
KUI31755.1 IclR family transcriptional regulator [Mycobacterium sp. GA-2829],247
AHC24681.2 IclR family transcriptional regulator [Mycolicibacterium neoaurum VKM Ac-1815D],247
MCW2569536.1 IclR family transcriptional regulator [Mycobacterium sp.],248
TLH57585.1 IclR family transcriptional regulator [Mycolicibacterium aubagnense],248
KKF02831.1 IclR family transcriptional regulator [Mycolicibacterium obuense],248
MUL64108.1 IclR family transcriptional regulator [Mycolicibacterium sp. CBMA 234],248
BBX29103.1 putative IclR-family regulatory protein [Mycolicibacterium alvei],248
STZ61038.1 regulatory proteins IclR [Mycolicibacterium tokaiense],248
WP_164909727.1 IclR family transcriptional regulator domain-containing protein [Mycobacteroides franklinii],249
WP_162463766.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycolicibacterium],249
WP_330957084.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycolicibacterium],249
WP_232006018.1 IclR family transcriptional regulator [Mycobacterium sp. 852013-50091_SCH5140682],249
EJZ04773.1 IclR family transcriptional regulator [Mycolicibacterium vaccae ATCC 25954],249
HYZ69733.1 IclR family transcriptional regulator [Mycobacterium sp.],249
WP_099038249.1 IclR family transcriptional regulator [Mycobacterium neglectum],249
BBY27579.1 IclR family transcriptional regulator [Mycolicibacterium sediminis],249
HEY6645749.1 IclR family transcriptional regulator [Mycobacterium sp.],249
WP_005083380.1 IclR family transcriptional regulator [Mycobacteroides abscessus],250
WP_100464559.1 IclR family transcriptional regulator [Mycobacteroides abscessus],250
WP_025239198.1 IclR family transcriptional regulator domain-containing protein [Mycobacteroides abscessus],250
WP_019164161.1 IclR family transcriptional regulator [Mycobacteroides abscessus],250
WP_100451869.1 IclR family transcriptional regulator [Mycobacteroides abscessus],250
MBN7552005.1 IclR family transcriptional regulator [Mycobacteroides abscessus subsp. abscessus],250
WP_074335075.1 IclR family transcriptional regulator [Mycobacteroides abscessus],250
WP_100489892.1 IclR family transcriptional regulator [Mycobacteroides abscessus],250
WP_119588665.1 IclR family transcriptional regulator [Mycobacteroides abscessus],250
WP_074333016.1 IclR family transcriptional regulator [Mycobacteroides abscessus],250
MDM2320071.1 IclR family transcriptional regulator [Mycobacteroides abscessus],250
WP_302365171.1 IclR family transcriptional regulator [Mycobacteroides abscessus],250
WP_074352440.1 IclR family transcriptional regulator [Mycobacteroides abscessus],250
WP_100468648.1 IclR family transcriptional regulator [Mycobacteroides abscessus],250
WP_100484997.1 IclR family transcriptional regulator [Mycobacteroides abscessus],250
WP_100469418.1 IclR family transcriptional regulator [Mycobacteroides abscessus],250
WP_195165992.1 IclR family transcriptional regulator domain-containing protein [Mycobacteroides abscessus],250
WP_079518428.1 IclR family transcriptional regulator [Mycobacteroides abscessus],250
WP_074334162.1 IclR family transcriptional regulator [Mycobacteroides abscessus],250
WP_005086708.1 IclR family transcriptional regulator [Mycobacteroides abscessus],250
WP_074336980.1 IclR family transcriptional regulator [Mycobacteroides abscessus],250
WP_025269415.1 IclR family transcriptional regulator [Mycobacteroides abscessus],250
WP_079624760.1 IclR family transcriptional regulator [Mycobacteroides abscessus],250
WP_195167120.1 IclR family transcriptional regulator domain-containing protein [Mycobacteroides abscessus],250
WP_074330530.1 IclR family transcriptional regulator [Mycobacteroides abscessus],250
WP_070410171.1 IclR family transcriptional regulator [Mycobacteroides abscessus],250
WP_079613984.1 IclR family transcriptional regulator [Mycobacteroides abscessus],250
WP_016890246.1 IclR family transcriptional regulator [Mycobacteroides abscessus],250
WP_005064356.1 IclR family transcriptional regulator [Mycobacteroides abscessus],250
WP_020724338.1 IclR family transcriptional regulator [Mycobacteroides abscessus],250
WP_043079230.1 IclR family transcriptional regulator [Mycobacteroides immunogenum],250
WP_290466133.1 IclR family transcriptional regulator [Mycobacteroides immunogenum],250
WP_064632074.1 IclR family transcriptional regulator [Mycobacteroides immunogenum],250
KWX23856.1 IclR family transcriptional regulator [Mycolicibacterium wolinskyi],250
OBA60310.1 IclR family transcriptional regulator [Mycobacterium sp. 1100029.7],250
WP_108925918.1 IclR family transcriptional regulator [Mycobacterium montefiorense],250
WP_232078945.1 IclR family transcriptional regulator [Mycobacterium florentinum],250
ODR10562.1 IclR family transcriptional regulator [Mycobacterium sherrisii],250
MDT5338296.1 hypothetical protein [Mycobacterium sp.],250
MET0897724.1 IclR family transcriptional regulator [Mycobacterium sp.],250
BBY84453.1 putative IclR-family regulatory protein [Mycolicibacterium tokaiense],250
MDT5072680.1 hypothetical protein [Mycobacterium sp.],250
WP_255772946.1 IclR family transcriptional regulator [Mycobacteroides abscessus],250
RKQ94992.1 IclR family transcriptional regulator [Mycolicibacterium mucogenicum 261Sha1.1M5],250
RKQ83754.1 IclR family transcriptional regulator [Mycolicibacterium mucogenicum 261Sha1.1M5],251
WP_370065509.1 IclR family transcriptional regulator [Mycobacterium sp. MAA66],251
TPG29909.1 IclR family transcriptional regulator [Mycolicibacterium hodleri],251
WP_071942491.1 IclR family transcriptional regulator [Mycolicibacterium pallens],251
WP_396927930.1 IclR family transcriptional regulator [Mycolicibacterium sp.],251
"EHB54163.1 transcriptional regulator, IclR family [Mycolicibacterium rhodesiae JS60]",251
WP_149441936.1 IclR family transcriptional regulator [Mycolicibacterium sp. P1-5],251
WP_319448206.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycobacterium],251
WP_064857301.1 MULTISPECIES: IclR family transcriptional regulator [Mycobacteriaceae],251
WP_240177133.1 IclR family transcriptional regulator [Mycolicibacterium crocinum],251
MDR3661272.1 IclR family transcriptional regulator [Mycobacterium sp.],251
WP_197382951.1 IclR family transcriptional regulator [Mycolicibacterium mengxianglii],251
WP_212807179.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycolicibacterium],251
WP_073695990.1 IclR family transcriptional regulator [Mycobacterium sp. ST-F2],251
WP_061005869.1 MULTISPECIES: IclR family transcriptional regulator [Mycolicibacterium],251
SHV77324.1 regulatory proteins IclR [Mycobacteroides abscessus subsp. abscessus],251
WP_293017869.1 IclR family transcriptional regulator [Mycolicibacterium sp.],251
WP_099249423.1 IclR family transcriptional regulator [Mycobacterium sp. shizuoka-1],251
WP_155928052.1 IclR family transcriptional regulator [Mycolicibacterium sp. CBMA 234],251
WP_036420446.1 MULTISPECIES: IclR family transcriptional regulator [Mycobacteriaceae],251
WP_267318627.1 MULTISPECIES: IclR family transcriptional regulator [Mycolicibacterium],251
WP_155905211.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycolicibacterium],251
WP_318985486.1 IclR family transcriptional regulator [Mycolicibacterium sp. 141076],251
WP_346416019.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycobacterium],251
WP_280826066.1 IclR family transcriptional regulator [Mycobacterium sp. OTB74],251
WP_043984681.1 IclR family transcriptional regulator [Mycolicibacterium llatzerense],251
WP_085157676.1 IclR family transcriptional regulator [Mycobacterium lacus],251
WP_201274559.1 IclR family transcriptional regulator [Mycolicibacterium sp. CH28],251
"MDT5069495.1 IclR family transcriptional regulator, acetate operon repressor [Mycobacterium sp.]",252
WP_111509474.1 IclR family transcriptional regulator [Mycobacterium kyogaense],252
WP_036344053.1 IclR family transcriptional regulator [Mycolicibacterium aromaticivorans],252
WP_083122040.1 IclR family transcriptional regulator [Mycolicibacterium rhodesiae],252
WP_335336926.1 IclR family transcriptional regulator [Mycolicibacterium neoaurum],252
WP_036432996.1 MULTISPECIES: IclR family transcriptional regulator [Mycolicibacterium],252
WP_396916196.1 IclR family transcriptional regulator [Mycolicibacterium sp.],252
WP_281570558.1 IclR family transcriptional regulator [Mycolicibacterium neoaurum],252
WP_102809639.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycobacterium],252
WP_068256757.1 IclR family transcriptional regulator [Mycobacterium sp. ACS4331],252
WP_149378707.1 IclR family transcriptional regulator [Mycobacterium sp. ELW1],252
WP_302781484.1 IclR family transcriptional regulator [Mycolicibacterium neoaurum],252
WP_110807134.1 MULTISPECIES: IclR family transcriptional regulator [Mycobacteriaceae],252
WP_335328817.1 IclR family transcriptional regulator [Mycolicibacterium neoaurum],252
WP_115321431.1 IclR family transcriptional regulator [Mycolicibacterium aichiense],252
WP_047331705.1 IclR family transcriptional regulator [Mycobacterium sp. EPa45],252
MDT5398648.1 hypothetical protein [Mycobacterium sp.],252
MBU8807441.1 IclR family transcriptional regulator [Mycolicibacterium goodii],253
WP_036454933.1 IclR family transcriptional regulator [Mycolicibacterium smegmatis],253
WP_083164401.1 IclR family transcriptional regulator [Mycobacterium aquaticum],253
"WP_235616919.1 IclR family transcriptional regulator, partial [Mycobacterium montefiorense]",253
WP_011782039.1 IclR family transcriptional regulator [Mycolicibacterium vanbaalenii],253
WP_011731512.1 IclR family transcriptional regulator [Mycolicibacterium smegmatis],253
AKS36110.1 IclR family transcriptional regulator [Mycolicibacterium goodii],253
WP_208673952.1 IclR family transcriptional regulator [Mycolicibacterium austroafricanum],253
WP_330953776.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycolicibacterium],253
OKH82800.1 IclR family transcriptional regulator [Mycobacterium sp. ST-F2],253
WP_036371127.1 IclR family transcriptional regulator [Mycolicibacterium austroafricanum],253
WP_064944958.1 IclR family transcriptional regulator [Mycobacterium sp. 852013-50091_SCH5140682],253
KAB7752157.1 IclR family transcriptional regulator [Mycolicibacterium mucogenicum DSM 44124],253
WP_222883162.1 MULTISPECIES: IclR family transcriptional regulator [Mycolicibacterium],253
WP_318625034.1 IclR family transcriptional regulator [Mycolicibacterium sp. D5.8-2],253
WP_105389282.1 MULTISPECIES: IclR family transcriptional regulator [Mycolicibacterium],253
WP_372923799.1 IclR family transcriptional regulator [Mycolicibacterium vanbaalenii],253
WP_062828846.1 IclR family transcriptional regulator [Mycolicibacterium brisbanense],253
WP_097945164.1 IclR family transcriptional regulator [Mycolicibacterium agri],254
WP_036397632.1 IclR family transcriptional regulator [Mycolicibacterium cosmeticum],254
ORV48167.1 IclR family transcriptional regulator [Mycobacterium florentinum],254
VEG49933.1 regulatory proteins IclR [Mycolicibacterium chitae],254
WP_346411757.1 IclR family transcriptional regulator [Mycolicibacterium cosmeticum],254
WP_163645372.1 IclR family transcriptional regulator [Mycolicibacterium confluentis],254
WP_085151661.1 IclR family transcriptional regulator [Mycolicibacterium confluentis],255
WP_078293092.1 IclR family transcriptional regulator [Mycobacterium sp. D16R24],255
WP_319436824.1 IclR family transcriptional regulator [Mycobacterium sp. RTGN5],255
HYO04539.1 IclR family transcriptional regulator [Mycobacterium sp.],255
HEY5843564.1 IclR family transcriptional regulator [Mycobacterium sp.],255
WP_163746168.1 IclR family transcriptional regulator [Mycolicibacterium helvum],255
WP_133696187.1 MULTISPECIES: IclR family transcriptional regulator [Mycobacteriaceae],255
WP_235677771.1 IclR family transcriptional regulator [Mycolicibacterium sarraceniae],255
WP_235892782.1 IclR family transcriptional regulator [Mycolicibacterium hodleri],255
WP_029117948.1 IclR family transcriptional regulator [Mycobacterium sp. URHB0044],255
WP_179474838.1 IclR family transcriptional regulator [Mycolicibacterium vinylchloridicum],255
MDT5082691.1 hypothetical protein [Mycobacterium sp.],255
MFN8102231.1 IclR family transcriptional regulator [Mycobacterium sp.],255
WP_174401465.1 IclR family transcriptional regulator domain-containing protein [Mycolicibacterium sphagni],255
MDT5154989.1 hypothetical protein [Mycobacterium sp.],255
"SBS71026.1 Transcriptional regulator, IclR family [uncultured Mycobacterium sp.]",255
WP_231963391.1 IclR family transcriptional regulator [Mycobacterium adipatum],255
MFN8227346.1 IclR family transcriptional regulator [Mycobacterium sp.],255
WP_370464825.1 IclR family transcriptional regulator [Mycolicibacterium sp. P1-18],255
MDZ7887103.1 IclR family transcriptional regulator [Mycobacterium sp.],255
WP_090359696.1 IclR family transcriptional regulator [Mycolicibacterium fluoranthenivorans],255
WP_105365748.1 IclR family transcriptional regulator [Mycobacterium sp. ITM-2016-00316],255
MET0995072.1 IclR family transcriptional regulator [Mycobacterium sp.],256
HEY5149378.1 IclR family transcriptional regulator [Mycobacterium sp.],256
WP_231743434.1 IclR family transcriptional regulator [Mycobacterium sp. GA-2829],256
WP_076197857.1 IclR family transcriptional regulator [Mycobacterium sp. GA-1841],256
ORA32816.1 IclR family transcriptional regulator [Mycobacterium aquaticum],256
MCV7228111.1 IclR family transcriptional regulator [Mycolicibacterium komossense],256
WP_149374452.1 IclR family transcriptional regulator [Mycolicibacterium sp. P9-64],256
WP_184445580.1 IclR family transcriptional regulator [Mycobacterium sp. AZCC_0083],256
KAA0095211.1 IclR family transcriptional regulator [Mycolicibacterium sp. P1-18],256
AQT82893.1 hypothetical protein B1R94_17440 [Mycolicibacterium litorale],257
BBY87114.1 IclR family transcriptional regulator [Mycolicibacterium tokaiense],257
MDF2825561.1 IclR family transcriptional regulator [Mycobacterium sp.],257
WP_018602419.1 IclR family transcriptional regulator [Mycobacterium sp. 155],257
WP_217160704.1 IclR family transcriptional regulator [[Mycobacterium] fortunisiensis],257
WP_090588960.1 IclR family transcriptional regulator [Mycolicibacterium brumae],257
WP_019970312.1 IclR family transcriptional regulator [Mycobacterium sp. 141],257
WP_309227854.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycolicibacterium],257
MDT5278946.1 hypothetical protein [Mycobacterium sp.],257
WP_216864415.1 IclR family transcriptional regulator [Mycolicibacterium goodii],257
WP_229479307.1 IclR family transcriptional regulator [Mycolicibacterium mageritense],257
WP_286214059.1 IclR family transcriptional regulator [Mycolicibacterium mageritense],257
WP_396899197.1 IclR family transcriptional regulator [Mycolicibacterium sp.],257
WP_396915727.1 IclR family transcriptional regulator [Mycolicibacterium sp.],257
WP_036431870.1 IclR family transcriptional regulator [Mycolicibacterium mageritense],257
WP_067776383.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycobacterium],257
WP_276824192.1 IclR family transcriptional regulator [Mycolicibacterium mageritense],257
WP_163667085.1 IclR family transcriptional regulator [Mycolicibacterium alvei],257
WP_064883774.1 IclR family transcriptional regulator [Mycolicibacterium peregrinum],257
WP_235624076.1 IclR family transcriptional regulator [Mycolicibacterium goodii],257
WP_082449115.1 IclR family transcriptional regulator [Mycolicibacterium peregrinum],257
WP_064937543.1 IclR family transcriptional regulator [Mycolicibacterium peregrinum],257
MBP2455901.1 DNA-binding IclR family transcriptional regulator [Mycolicibacterium lutetiense],257
MCW2588465.1 IclR family transcriptional regulator [Mycobacterium sp.],257
MDT7758183.1 hypothetical protein [Mycobacterium sp.],257
MDT5108970.1 hypothetical protein [Mycobacterium sp.],257
WP_319455686.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycobacterium],257
WP_264069211.1 IclR family transcriptional regulator [Mycolicibacterium komossense],257
MBE5454176.1 hypothetical protein [Mycobacteroides abscessus],258
WP_029116650.1 IclR family transcriptional regulator [Mycobacterium sp. URHB0044],258
WP_178360145.1 MULTISPECIES: IclR family transcriptional regulator [Mycobacteriaceae],258
WP_163700921.1 IclR family transcriptional regulator [Mycolicibacterium agri],258
WP_073911837.1 IclR family transcriptional regulator [Mycolicibacterium sp.],258
WP_036437219.1 IclR family transcriptional regulator [Mycolicibacterium mageritense],258
BBY86744.1 IclR family transcriptional regulator [Mycolicibacterium tokaiense],258
WP_286211704.1 IclR family transcriptional regulator [Mycolicibacterium mageritense],258
WP_316512023.1 IclR family transcriptional regulator [[Mycobacterium] wendilense],258
MET0699657.1 IclR family transcriptional regulator [Mycobacterium sp.],258
AWT57531.1 glycerol operon regulatory protein [Mycolicibacterium smegmatis MKD8],258
MEZ0051130.1 DNA-binding IclR family transcriptional regulator [Mycobacterium sp. MAA66],258
WP_015297625.1 IclR family transcriptional regulator [Mycobacterium sp. JS623],258
STZ34675.1 transcriptional regulator IclR [Mycolicibacterium smegmatis],258
WP_179967116.1 IclR family transcriptional regulator [Mycolicibacterium chitae],258
WP_372942296.1 IclR family transcriptional regulator [Mycolicibacterium sp.],258
WP_029117508.1 IclR family transcriptional regulator [Mycobacterium sp. URHB0044],258
WP_179961182.1 IclR family transcriptional regulator [Mycolicibacterium insubricum],258
MDT5151130.1 hypothetical protein [Mycobacterium sp.],258
KAA0099041.1 IclR family transcriptional regulator [Mycolicibacterium sp. P1-18],258
MET0454691.1 IclR family transcriptional regulator [Mycobacterium sp.],258
MCB9440609.1 IclR family transcriptional regulator [Mycolicibacterium sp.],258
MET0474746.1 IclR family transcriptional regulator [Mycobacterium sp.],258
MFN8067697.1 IclR family transcriptional regulator [Mycolicibacterium insubricum],258
WP_138232640.1 IclR family transcriptional regulator [Mycolicibacterium aubagnense],258
WP_246231036.1 IclR family transcriptional regulator [Mycolicibacterium sediminis],258
WP_135427296.1 IclR family transcriptional regulator [Mycolicibacterium sp. CH28],258
WP_149372475.1 IclR family transcriptional regulator [Mycolicibacterium sp. P9-64],258
WP_068132266.1 IclR family transcriptional regulator [Mycobacterium sp. E796],258
AQA04154.1 IclR family transcriptional regulator [Mycobacterium sp. MS1601],258
WP_079630320.1 MULTISPECIES: IclR family transcriptional regulator [Mycobacteriaceae],258
WP_095795050.1 MULTISPECIES: IclR family transcriptional regulator [Mycobacteriaceae],258
WP_029112550.1 IclR family transcriptional regulator [Mycobacterium sp. URHB0044],258
WP_163891442.1 IclR family transcriptional regulator [Mycolicibacterium hippocampi],259
WP_370333860.1 IclR family transcriptional regulator [Mycolicibacterium hippocampi],259
WP_159235242.1 IclR family transcriptional regulator [Mycolicibacterium vanbaalenii],259
WP_040543056.1 IclR family transcriptional regulator [Mycolicibacterium vaccae],259
WP_311113249.1 IclR family transcriptional regulator [Mycobacterium sp. ITM-2016-00317],259
WP_260753361.1 IclR family transcriptional regulator [Mycobacterium sp. SMC-8],259
WP_143817301.1 IclR family transcriptional regulator [Mycolicibacterium sp. 018/SC-01/001],259
WP_198529216.1 IclR family transcriptional regulator [Mycolicibacterium obuense],259
MBX7448166.1 IclR family transcriptional regulator [Mycolicibacterium aurantiacum],259
WP_018602434.1 IclR family transcriptional regulator [Mycobacterium sp. 155],259
WP_019970299.1 IclR family transcriptional regulator [Mycobacterium sp. 141],259
WP_085153637.1 IclR family transcriptional regulator [Mycolicibacterium confluentis],259
WP_068254086.1 IclR family transcriptional regulator [Mycobacterium sp. ACS4331],259
MUL84045.1 IclR family transcriptional regulator [Mycolicibacterium sp. CBMA 329],259
CNF90826.1 IclR family transcriptional regulator [Mycobacterium tuberculosis],259
WP_317154967.1 IclR family transcriptional regulator [Mycobacterium sp. 21AC1],259
WP_307870117.1 IclR family transcriptional regulator [Mycolicibacterium lutetiense],259
WP_272938786.1 IclR family transcriptional regulator [Mycolicibacterium agri],259
WP_003895560.1 IclR family transcriptional regulator [Mycolicibacterium smegmatis],259
WP_253803455.1 IclR family transcriptional regulator [Mycolicibacterium smegmatis],259
STZ59723.1 IclR family transcriptional regulator [Mycolicibacterium tokaiense],259
MET0993939.1 IclR family transcriptional regulator [Mycobacterium sp.],259
WP_318986457.1 MULTISPECIES: IclR family transcriptional regulator [Mycobacteriaceae],260
WP_406803639.1 IclR family transcriptional regulator [Mycobacterium sp. SMC-18],260
WP_212806874.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycolicibacterium],260
MBO0884660.1 IclR family transcriptional regulator [Mycobacterium sp.],260
WP_179970295.1 IclR family transcriptional regulator [Mycolicibacterium aubagnense],260
HJT96395.1 IclR family transcriptional regulator [Mycobacterium sp.],260
MDT5070017.1 hypothetical protein [Mycobacterium sp.],260
WP_155925736.1 IclR family transcriptional regulator [Mycolicibacterium sp. CBMA 234],260
WP_406802563.1 IclR family transcriptional regulator [Mycobacterium sp. SMC-17],260
WP_174557709.1 IclR family transcriptional regulator [Mycobacterium sp. ST-F2],260
MDT5109049.1 hypothetical protein [Mycobacterium sp.],260
HEX3288883.1 IclR family transcriptional regulator [Mycobacterium sp.],260
MCW2560390.1 IclR family transcriptional regulator [Mycobacterium sp.],260
WP_011731092.1 IclR family transcriptional regulator [Mycolicibacterium smegmatis],260
WP_158167502.1 IclR family transcriptional regulator [Mycolicibacterium smegmatis],260
WP_214311795.1 IclR family transcriptional regulator [Mycolicibacterium goodii],260
WP_036453949.1 IclR family transcriptional regulator [Mycolicibacterium smegmatis],260
WP_233043455.1 IclR family transcriptional regulator [Mycolicibacterium smegmatis],260
WP_214385215.1 IclR family transcriptional regulator [Mycolicibacterium goodii],260
WP_073681012.1 IclR family transcriptional regulator [Mycolicibacterium goodii],260
WP_409502582.1 IclR family transcriptional regulator [Mycolicibacterium wolinskyi],260
WP_240173684.1 IclR family transcriptional regulator [Mycolicibacterium goodii],260
WP_085143211.1 MULTISPECIES: IclR family transcriptional regulator [Mycolicibacterium],260
WP_067850321.1 IclR family transcriptional regulator [Mycolicibacterium wolinskyi],260
HYP95860.1 IclR family transcriptional regulator [Mycobacterium sp.],260
WP_100463226.1 IclR family transcriptional regulator [Mycobacteroides abscessus],260
WP_074341281.1 IclR family transcriptional regulator [Mycobacteroides abscessus],260
WP_206482334.1 IclR family transcriptional regulator [Mycobacteroides abscessus],260
WP_313861002.1 IclR family transcriptional regulator [Mycobacterium sp.],260
SHP71135.1 glycerol operon regulatory protein [Mycobacteroides abscessus subsp. abscessus],260
WP_186002488.1 IclR family transcriptional regulator [Mycobacterium sp. KBS0706],260
WP_276821799.1 IclR family transcriptional regulator [Mycolicibacterium mageritense],261
WP_036430638.1 IclR family transcriptional regulator [Mycolicibacterium mageritense],261
WP_073675842.1 IclR family transcriptional regulator [Mycolicibacterium goodii],261
MDT5125364.1 hypothetical protein [Mycobacterium sp.],261
WP_049742960.1 IclR family transcriptional regulator [Mycolicibacterium goodii],261
WP_067849025.1 IclR family transcriptional regulator [Mycolicibacterium wolinskyi],261
WP_085147529.1 MULTISPECIES: IclR family transcriptional regulator [Mycolicibacterium],261
WP_409502300.1 IclR family transcriptional regulator [Mycolicibacterium wolinskyi],261
MDT5363988.1 hypothetical protein [Mycobacterium sp.],261
MDT5198614.1 hypothetical protein [Mycobacterium sp.],261
MDT5236848.1 hypothetical protein [Mycobacterium sp.],261
WP_353323693.1 IclR family transcriptional regulator [Mycobacterium sp.],261
HJT92559.1 IclR family transcriptional regulator [Mycobacterium sp.],261
WP_260994160.1 IclR family transcriptional regulator [Mycobacterium deserti],261
MCW2593368.1 IclR family transcriptional regulator [Mycobacterium sp.],261
MDT5216949.1 hypothetical protein [Mycobacterium sp.],261
MDT7758121.1 hypothetical protein [Mycobacterium sp.],261
WP_207357379.1 IclR family transcriptional regulator [Mycolicibacterium sp. S2-37],261
WP_083452727.1 IclR family transcriptional regulator [Mycolicibacterium goodii],261
WP_069413390.1 IclR family transcriptional regulator [Mycolicibacterium flavescens],261
MCW2516115.1 IclR family transcriptional regulator [Mycobacterium sp.],261
MDT5067548.1 hypothetical protein [Mycobacterium sp.],261
WP_407663616.1 IclR family transcriptional regulator [Mycolicibacterium insubricum],261
MCW2731249.1 IclR family transcriptional regulator [Mycobacterium sp.],261
MCW2520768.1 IclR family transcriptional regulator [Mycobacterium sp.],261
WP_149445892.1 IclR family transcriptional regulator [Mycolicibacterium sp. P9-22],261
MDT5077673.1 hypothetical protein [Mycobacterium sp.],261
WP_327536748.1 IclR family transcriptional regulator [uncultured Mycolicibacterium sp.],262
WP_059157389.1 IclR family transcriptional regulator [Mycobacterium sp. IS-1496],262
WP_317160510.1 IclR family transcriptional regulator [Mycobacterium sp. 21AC1],262
WP_110316641.1 IclR family transcriptional regulator [Mycolicibacterium moriokaense],262
WP_193048670.1 IclR family transcriptional regulator [Mycolicibacterium baixiangningiae],262
WP_197376926.1 IclR family transcriptional regulator [Mycolicibacterium baixiangningiae],262
WP_059095525.1 IclR family transcriptional regulator [Mycobacterium sp. IS-1742],262
MDT5209194.1 hypothetical protein [Mycobacterium sp.],262
WP_064917052.1 IclR family transcriptional regulator [Mycolicibacterium monacense],262
WP_011855597.1 IclR family transcriptional regulator [Mycolicibacterium monacense],262
WP_064875944.1 MULTISPECIES: IclR family transcriptional regulator [Mycolicibacterium],262
WP_319452101.1 MULTISPECIES: IclR family transcriptional regulator [unclassified Mycobacterium],262
WP_059092788.1 IclR family transcriptional regulator [Mycobacterium sp. GA-2829],262
WP_135125186.1 IclR family transcriptional regulator [Mycobacterium sp. PS03-16],262
WP_185295864.1 IclR family transcriptional regulator [Mycolicibacterium litorale],262
WP_134051992.1 IclR family transcriptional regulator [Mycolicibacterium litorale],262
MCF6389721.1 IclR family transcriptional regulator [Mycobacterium sp. MBM],262
GAY16399.1 putative IclR-family regulatory protein [Mycobacterium sp. shizuoka-1],262
HEX7826919.1 IclR family transcriptional regulator [Mycobacterium sp.],262
WP_135424303.1 IclR family transcriptional regulator [Mycolicibacterium sp. CH28],263
WP_048631655.1 IclR family transcriptional regulator [Mycolicibacterium aurum],263
WP_184440505.1 IclR family transcriptional regulator [Mycobacterium sp. AZCC_0083],263
MDT5196752.1 hypothetical protein [Mycobacterium sp.],263
WP_149375212.1 IclR family transcriptional regulator [Mycolicibacterium sp. P9-64],263
WP_149372483.1 IclR family transcriptional regulator [Mycolicibacterium sp. P9-64],263
HYO00766.1 IclR family transcriptional regulator [Mycobacterium sp.],263
WP_097941045.1 IclR family transcriptional regulator [Mycolicibacterium agri],263
WP_045375663.1 IclR family transcriptional regulator [Mycobacterium kyorinense],263
WP_245839758.1 IclR family transcriptional regulator [Mycobacterium aquaticum],263
WP_223258967.1 MULTISPECIES: IclR family transcriptional regulator [Mycobacteriales],263
WP_178359393.1 MULTISPECIES: IclR family transcriptional regulator [Mycobacteriaceae],263
MCU1698133.1 IclR family transcriptional regulator [Mycobacterium sp.],263
MDT5115018.1 hypothetical protein [Mycobacterium sp.],263
WP_409504660.1 IclR family transcriptional regulator [Mycolicibacterium wolinskyi],263
BBX35243.1 IclR family transcriptional regulator [Mycolicibacterium mageritense],263
GJJ19767.1 IclR family transcriptional regulator [Mycolicibacterium mageritense],263
WP_234790678.1 IclR family transcriptional regulator [Mycolicibacterium wolinskyi],263
WP_183472182.1 IclR family transcriptional regulator [Mycolicibacterium iranicum],264
WP_083144462.1 IclR family transcriptional regulator [Mycolicibacterium parafortuitum],264
WP_234816268.1 IclR family transcriptional regulator [Mycolicibacterium agri],264
WP_024445810.1 IclR family transcriptional regulator [Mycolicibacterium iranicum],264
WP_349268600.1 IclR family transcriptional regulator [Mycolicibacterium parafortuitum],264
WP_064285260.1 IclR family transcriptional regulator [Mycolicibacterium iranicum],264
WP_197383620.1 IclR family transcriptional regulator [Mycolicibacterium mengxianglii],264
WP_278040124.1 IclR family transcriptional regulator [Mycobacterium sp. 236(2023)],264
WP_199255938.1 IclR family transcriptional regulator [Mycolicibacterium mengxianglii],264
WP_193491781.1 IclR family transcriptional regulator [Mycolicibacterium murale],264
WP_068915004.1 IclR family transcriptional regulator [Mycolicibacterium tokaiense],264
WP_115279230.1 IclR family transcriptional regulator [Mycolicibacterium tokaiense],264
HZC10574.1 IclR family transcriptional regulator [Mycobacterium sp.],264
SHS20736.1 transcriptional regulator IclR [Mycobacteroides abscessus subsp. abscessus],264
